nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-01-24
1.0,1.0,1.0,0.0,2024-01-26
1.0,1.0,1.0,0.0,2024-01-31
1.0,1.0,1.0,0.0,2024-02-02
0.9999,0.9999,0.9999,-0.0001,2024-02-08
0.9998,0.9998,0.9998,-0.00010001,2024-02-23
1.0094,1.0094,1.0094,0.0096019204,2024-02-29
1.0161,1.0161,1.0161,0.0066376065,2024-03-01
1.0233,1.0233,1.0233,0.0070859167,2024-03-08
1.0311,1.0311,1.0311,0.0076223981,2024-03-15
1.0271,1.0271,1.0271,-0.0038793521,2024-03-22
1.0294,1.0294,1.0294,0.0022393146,2024-03-29
1.0393,1.0393,1.0393,0.0096172528,2024-04-03
1.0197,1.0197,1.0197,-0.0188588473,2024-04-12
1.0387,1.0387,1.0387,0.0186329313,2024-04-19
1.0559,1.0559,1.0559,0.0165591605,2024-04-26
1.0676,1.0676,1.0676,0.0110805948,2024-04-30
1.0856,1.0856,1.0856,0.0168602473,2024-05-10
1.0901,1.0901,1.0901,0.0041451732,2024-05-17
1.067,1.067,1.067,-0.0211907164,2024-05-24
1.0668,1.0668,1.0668,-0.0001874414,2024-05-31
1.0621,1.0621,1.0621,-0.0044056993,2024-06-07
1.0548,1.0548,1.0548,-0.0068731758,2024-06-14
1.0477,1.0477,1.0477,-0.0067311339,2024-06-21
1.045,1.045,1.045,-0.0025770736,2024-06-28
1.036,1.036,1.036,-0.0086124402,2024-07-05
1.0539,1.0539,1.0539,0.0172779923,2024-07-12
1.0577,1.0577,1.0577,0.0036056552,2024-07-19
1.0283,1.0283,1.0283,-0.0277961615,2024-07-26
1.0373,1.0373,1.0373,0.0087523096,2024-07-31
1.0219,1.0219,1.0219,-0.0148462354,2024-08-02
1.01,1.01,1.01,-0.011644975,2024-08-09
1.0155,1.0155,1.0155,0.0054455446,2024-08-16
1.0086,1.0086,1.0086,-0.0067946824,2024-08-23
1.0064,1.0064,1.0064,-0.0021812413,2024-08-30
0.9779,0.9779,0.9779,-0.0283187599,2024-09-06
0.9591,0.9591,0.9591,-0.0192248696,2024-09-13
0.9744,0.9744,0.9744,0.0159524554,2024-09-20
1.1025,1.1025,1.1025,0.1314655172,2024-09-27
1.1887,1.1887,1.1887,0.078185941,2024-09-30
1.1553,1.1553,1.1553,-0.0280979221,2024-10-11
1.1637,1.1637,1.1637,0.0072708387,2024-10-18
1.1795,1.1795,1.1795,0.0135773825,2024-10-25
1.1732,1.1732,1.1732,-0.0053412463,2024-10-31
