nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-11-16
1.0,1.0,1.0,0.0,2021-11-19
1.0,1.0,1.0,0.0,2021-11-26
1.0,1.0,1.0,0.0,2021-11-30
1.0,1.0,1.0,0.0,2021-12-03
1.01,1.01,1.01,0.01,2021-12-10
1.012,1.012,1.012,0.001980198,2021-12-17
1.001,1.001,1.001,-0.0108695652,2021-12-24
1.008,1.008,1.008,0.006993007,2021-12-31
1.042,1.042,1.042,0.0337301587,2022-01-07
1.042,1.042,1.042,0.0,2022-01-14
1.068,1.068,1.068,0.0249520154,2022-01-21
1.012,1.012,1.012,-0.0524344569,2022-01-28
1.08,1.08,1.08,0.0671936759,2022-02-11
1.047,1.047,1.047,-0.0305555556,2022-02-18
1.009,1.009,1.009,-0.0362941738,2022-02-25
1.004,1.004,1.004,-0.0049554014,2022-02-28
1.021,1.021,1.021,0.0169322709,2022-03-04
0.981,0.981,0.981,-0.0391772772,2022-03-11
0.984,0.984,0.984,0.003058104,2022-03-18
0.988,0.988,0.988,0.0040650407,2022-03-25
1.006,1.006,1.006,0.0182186235,2022-03-31
1.012,1.012,1.012,0.0059642147,2022-04-01
1.018,1.018,1.018,0.0059288538,2022-04-08
1.027,1.027,1.027,0.0088408644,2022-04-15
1.013,1.013,1.013,-0.0136319377,2022-04-22
0.93,0.93,0.93,-0.081934847,2022-04-29
0.896,0.896,0.896,-0.0365591398,2022-05-06
0.92,0.92,0.92,0.0267857143,2022-05-13
0.929,0.929,0.929,0.0097826087,2022-05-20
0.933,0.933,0.933,0.0043057051,2022-05-27
0.942,0.942,0.942,0.0096463023,2022-05-31
0.944,0.944,0.944,0.0021231423,2022-06-02
0.983,0.983,0.983,0.0413135593,2022-06-10
1.014,1.014,1.014,0.0315361139,2022-06-17
1.029,1.029,1.029,0.0147928994,2022-06-24
1.025,1.025,1.025,-0.0038872692,2022-06-30
1.02,1.02,1.02,-0.0048780488,2022-07-01
0.994,0.994,0.994,-0.0254901961,2022-07-08
0.947,0.947,0.947,-0.0472837022,2022-07-15
